shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10195,45.490413,-75.643735,10001
10195,45.490331,-75.644099,10002
10195,45.490267,-75.644188,10003
10195,45.490230,-75.644328,10004
10195,45.490139,-75.644622,10005
10195,45.490019,-75.644991,10006
10195,45.489909,-75.645361,10007
10195,45.489587,-75.646650,10008
10195,45.489274,-75.647901,10009
10195,45.486791,-75.658724,10010
10195,45.486597,-75.659579,10011
10195,45.486430,-75.660306,10012
10195,45.486301,-75.660919,10013
10195,45.486309,-75.661162,10014
10195,45.486225,-75.661520,10015
10195,45.486145,-75.661906,10016
10195,45.486145,-75.661906,20001
10195,45.486133,-75.661966,20002
10195,45.486069,-75.662081,20003
10195,45.485960,-75.662348,20004
10195,45.485867,-75.662744,20005
10195,45.483244,-75.674204,20006
10195,45.483216,-75.674319,20007
10195,45.483096,-75.674816,20008
10195,45.482634,-75.676833,20009
10195,45.482246,-75.678543,20010
10195,45.481747,-75.680673,20011
10195,45.481719,-75.680839,20012
10195,45.481636,-75.681235,20013
10195,45.481608,-75.681363,20014
10195,45.481589,-75.681567,20015
10195,45.481597,-75.681746,20016
10195,45.481532,-75.682142,20017
10195,45.481494,-75.682385,20018
10195,45.481411,-75.682717,20019
10195,45.481208,-75.683559,20020
10195,45.481055,-75.684252,20021
10195,45.481055,-75.684252,30001
10195,45.481051,-75.684273,30002
10195,45.480987,-75.684413,30003
10195,45.480923,-75.684643,30004
10195,45.480868,-75.684809,30005
10195,45.480758,-75.685127,30006
10195,45.480675,-75.685408,30007
10195,45.480592,-75.685778,30008
10195,45.480407,-75.686556,30009
10195,45.480194,-75.687462,30010
10195,45.480167,-75.687589,30011
10195,45.479788,-75.689248,30012
10195,45.479390,-75.690945,30013
10195,45.479205,-75.691749,30014
10195,45.478983,-75.692757,30015
10195,45.478586,-75.694454,30016
10195,45.478428,-75.695194,30017
10195,45.478234,-75.696036,30018
10195,45.478031,-75.696904,30019
10195,45.477977,-75.697170,30020
10195,45.477977,-75.697170,40001
10195,45.477920,-75.697452,40002
10195,45.477809,-75.697912,40003
10195,45.477615,-75.698754,40004
10195,45.477402,-75.699647,40005
10195,45.477180,-75.700616,40006
10195,45.476986,-75.701484,40007
10195,45.476856,-75.702058,40008
10195,45.476477,-75.703678,40009
10195,45.476348,-75.704214,40010
10195,45.476200,-75.704775,40011
10195,45.476090,-75.705106,40012
10195,45.475925,-75.705603,40013
10195,45.475788,-75.705960,40014
