stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
11,,Name,,45.470888,-75.749963,,,0,,2
12,,Name,,45.475237,-75.746198,,,0,,2
13,,Name,,45.479586,-75.741743,,,0,,2
14,,Name,,45.483935,-75.736651,,,0,,2
21,,Name,,45.484253,-75.741583,,,0,,2
22,,Name,,45.478101,-75.740311,,,0,,2
23,,Name,,45.473328,-75.734795,,,0,,2
24,,Name,,45.468501,-75.72599,,,0,,2
31,,Name,,45.467759,-75.72371,,,0,,2
32,,Name,,45.466539,-75.734211,,,0,,2
33,,Name,,45.468766,-75.744023,,,0,,2
34,,Name,,45.472532,-75.7506,,,0,,2
