route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
59-1048,_16PR2-H01M016A-Samedi-01,32796300-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD",0,4449882,590433,0
52-1048,_16PR2-H01M016A-Samedi-01,32796301-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449882,520118,0
51-1048,_16PR2-H01M016A-Samedi-01,32796302-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",1,4449882,510121,0
49-1048,_16PR2-H01M016A-Samedi-01,32796303-_16PR2-H01M016A-Samedi-01,"Cegep Gabrielle-Roy via Plateau",0,4449910,490268,1
39-1048,_16PR2-H01M016A-Samedi-01,32796304-_16PR2-H01M016A-Samedi-01,"PLATEAU/OTTAWA via PORTAGE",1,4449867,390503,0
51-1048,_16PR2-H01M016A-Samedi-01,32796305-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449920,510134,0
52-1048,_16PR2-H01M016A-Samedi-01,32796306-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",1,4449920,520106,0
49-1048,_16PR2-H01M016A-Samedi-01,32796307-_16PR2-H01M016A-Samedi-01,"Cegep Gabrielle-Roy via Plateau",0,4449920,490268,0
49-1048,_16PR2-H01M016A-Samedi-01,32796308-_16PR2-H01M016A-Samedi-01,"Rivermead via Plateau",1,4449920,490274,0
59-1048,_16PR2-H01M016A-Samedi-01,32796309-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD",0,4449954,590433,1
59-1048,_16PR2-H01M016A-Samedi-01,32796311-_16PR2-H01M016A-Samedi-01,"P-O-B RIVERMEAD",0,4449954,590433,1
51-1048,_16PR2-H01M016A-Samedi-01,32796312-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",0,4449954,510134,1
52-1048,_16PR2-H01M016A-Samedi-01,32796313-_16PR2-H01M016A-Samedi-01,"Gamelin/Émond",1,4449954,520106,1
59-1048,_16PR2-H01M016A-Samedi-01,32796314-_16PR2-H01M016A-Samedi-01,"OTTAWA via PORTAGE",1,4449954,590439,1
