id,card_id,date,transaction_time,route_id,direction_id,stop_id
1,1,01/09/2005,0805,1,0,11-0
2,1,01/09/2005,1733,1,1,14-1
3,1,02/09/2005,0800,1,0,11-0
4,1,02/09/2005,1203,2,0,21-0
5,1,02/09/2005,1805,3,0,31-0
6,1,03/09/2005,0802,1,0,11-0
7,1,03/09/2005,1804,3,0,31-0
8,1,04/09/2005,0804,1,0,11-0
9,1,05/09/2005,1605,1,1,14-1
10,2,01/09/2005,0805,1,0,11-0
11,2,01/09/2005,1733,1,1,14-1
12,2,02/09/2005,0800,1,0,11-0
13,2,02/09/2005,1203,2,0,21-0
14,2,02/09/2005,1805,3,0,31-0
15,2,03/09/2005,0802,1,0,11-0
16,2,03/09/2005,1804,3,0,31-0
17,2,04/09/2005,0804,1,0,11-0
18,2,05/09/2005,1605,1,1,14-1
